experiment,split,method,setting,dataset,num_seeds,mIoU_percent,mIoU_seed_std_percent,foreground_mIoU_percent,foreground_mIoU_seed_std_percent,background_IoU_percent,background_IoU_seed_std_percent,foreground_Dice_percent,foreground_Dice_seed_std_percent,AUROC_percent,AUROC_seed_std_percent,absent_FP_area_percent,absent_FP_area_seed_std_percent
exp1,external_target,MaskCLIP,conditional_grpo,PH2,3,21.372999616616404,0.19726490729023538,5.2629763768241,0.23979580082936208,69.7030693359933,0.07219632605310014,9.86242754044199,0.4345549121962093,81.74145974263696,0.016820553717063414,1.7636237828003571,0.090237585724427
exp1,external_target,MaskCLIP,conditional_grpo,macro_average,3,30.428075084590585,0.08103091439750403,10.70865828360177,0.11001101853715956,81.37644540109726,0.03868675824960508,18.037859520484645,0.21944728466926533,85.68002485631824,0.007507983028889129,1.5581336325786497,0.04586721927483475
exp1,external_target,SCLIP,original_ngsc,Covid-QU-Ex,1,53.439698753509944,,19.98584260486905,,86.89355490215084,,29.594386459388485,,72.7716892575846,,,
exp1,external_target,SCLIP,original_ngsc,HAM10000,1,13.02296501080577,,11.104881816559868,,26.449547370527082,,39.052838784216235,,92.2963297040426,,8.644590903767806,
exp1,external_target,SCLIP,original_ngsc,MedSeg,1,29.034605063603486,,7.507149739803983,,93.616971035002,,16.730300051856464,,84.25404057961109,,0.284364908048422,
exp1,external_target,SCLIP,original_ngsc,PH2,1,32.957798766386894,,19.76317924882016,,72.54165731908711,,31.22644061732415,,90.67238274803876,,9.392768567205534,
exp1,external_target,SCLIP,original_ngsc,macro_average,1,32.11376689857652,,14.590263352513263,,69.87543265669176,,29.150991478196335,,84.99861057231927,,6.10724145967392,
exp1,external_target,SCLIP,core_fixed,Covid-QU-Ex,1,53.45936677201936,,20.02857776167934,,86.89015578235937,,29.645981294135826,,72.77174813319783,,,
exp1,external_target,SCLIP,core_fixed,HAM10000,1,18.784005434755688,,10.251204630099187,,78.51361106735119,,10.838042637154182,,92.49510429177018,,3.591193049931276,
exp1,external_target,SCLIP,core_fixed,MedSeg,1,32.435707463437566,,12.638367610248027,,91.82772702300619,,25.486061550796812,,84.55804125879763,,1.5240244346089882,
