experiment,split,method,setting,dataset,num_seeds,mIoU_percent,mIoU_seed_std_percent,foreground_mIoU_percent,foreground_mIoU_seed_std_percent,background_IoU_percent,background_IoU_seed_std_percent,foreground_Dice_percent,foreground_Dice_seed_std_percent,AUROC_percent,AUROC_seed_std_percent,absent_FP_area_percent,absent_FP_area_seed_std_percent
exp1_baseline,external_target,ClearCLIP,original_ngsc,macro_average,1,34.36970375624577,,17.937200517563195,,73.62276697353784,,29.68652076642272,,89.21431189100979,,5.991610655040666,
exp1_baseline,external_target,ClearCLIP,core_fixed,macro_average,1,34.75058332468085,,16.985054012128305,,82.36741485982569,,27.100913566953626,,89.66559353653783,,4.245094859859011,
exp1_baseline,external_target,ClearCLIP,source_static,macro_average,1,30.7129650483078,,11.041420386450122,,81.87094294104604,,18.79341228116631,,89.36531294150133,,1.7275285521098038,
exp2,external_target,ClearCLIP,global_beta_grpo,macro_average,3,29.861855326764346,0.08525516153393942,9.811695263942791,0.12031233529879201,81.62267349352283,0.029489583392516706,16.818926997972284,0.20430534222954724,89.27954919290762,0.011310295622325658,1.342366528552348,0.036357927104561594
exp2,external_target,ClearCLIP,conditional_beta_grpo,macro_average,3,30.051838488159742,0.30037236102192116,10.126800784528315,0.37831238169591597,81.99539719988219,0.14713976595390696,16.797006292072915,0.6383464342879546,89.36016964835709,0.09428460131884259,1.8894057866449445,0.17017357825594515
exp1_baseline,external_target,NACLIP,original_ngsc,macro_average,1,30.96676142597497,,14.292053350772774,,69.68317578376625,,21.33755963352178,,86.38407640251926,,8.269560322220677,
exp1_baseline,external_target,NACLIP,core_fixed,macro_average,1,35.95546209876977,,18.641190137782253,,81.46083507979807,,29.901944666278713,,88.87756458997616,,4.965764814592352,
exp1_baseline,external_target,NACLIP,source_static,macro_average,1,30.63235003027316,,11.1426237499988,,81.01841868799504,,18.621122186992764,,88.66971300498909,,1.4694491046424991,
exp2,external_target,NACLIP,global_beta_grpo,macro_average,3,30.27880272464052,0.17352783008896866,10.610043238834358,0.2600335055142878,80.94566573362513,0.02881994356998378,17.870899321806945,0.3889490000186119,88.66408857534579,0.0011499060324796282,1.458032583125125,0.03856164120794244
exp2,external_target,NACLIP,conditional_beta_grpo,macro_average,3,28.79132753841066,0.370749776960109,9.058439860104288,0.4124141848785311,80.29410727498374,0.4763337497920865,14.099605163396237,0.5966046669235668,88.65434232179294,0.02328814938201845,1.9698974827105575,0.5347960290220897
